Record Number,Name,Core ID,Code,Type,Status,Holder,Grant date,Expiry date,Cadastral units (CU),Area (km²),States,LGAs,Minerals
269,BIASE,58403,SSML-058403,Small Scale Mining Lease,Valid,COUNTRYMAN INTEGRATED SERVICES LTD,22/05/2024,21/05/2029,2,0.43,Cross River,Biase,"Mica,Lithium,Tantalum,Beryl,Tourmaline (blue)"
270,BIASE,39973,EL-039973,Exploration License,Valid,BIN USMAN MINING COMPANY NIG. LTD,11/11/2022,10/11/2025,147,31.26,Cross River,Biase,"Lithium,Tourmaline (blue)"
271,BIASE,36683,EL-036683,Exploration License,Valid,HARUTECH GLOBAL CONSULT LTD.,29/04/2022,28/04/2025,166,35.29,Cross River,"Akamkpa, Biase","Lithium,Tantalum,Beryl,Kunzite,Tourmaline (blue)"
272,,34643,EL-034643,Exploration License,Released,THE FIELD OF DIAMOND LIMITED,09/10/2021,08/10/2024,100,21.25,Cross River,Obubra,"Lead,Zinc,Baryte"
273,BIASE,41106,EL-041106,Exploration License,Valid,ELAN STAR MARINE NIG LTD,17/03/2023,16/03/2026,134,28.49,Cross River,Biase,"Lithium,Tantalum,Amethyst,Beryl,Tourmaline (blue)"
274,YAKURR,43400,EL-043400,Exploration License,Valid,HAIRLEQUIN CREATIONS LIMITED,07/06/2023,06/06/2026,112,23.8,Cross River,"Obubra, Yakurr","Lithium,Amethyst,Tourmaline (blue),Baryte,Emeralds"
275,Biase Yarkur,61345,EL-061345,Exploration License,Valid,DESCHATZE LIMITED,15/10/2024,14/10/2027,7,1.49,Cross River,Biase,"Lithium,Beryl,Tourmaline (green)"
276,Obubra,61342,EL-061342,Exploration License,Valid,DESCHATZE LIMITED,15/10/2024,14/10/2027,45,9.56,Cross River,Obubra,"Copper,Lead,Lithium,Tourmaline (green)"
277,,28623,EL-028623,Exploration License,Released,CEVER ENDEAVOURS COMPANY LIMITED,14/12/2018,13/12/2023,37,7.87,Cross River,Akamkpa,"Lead,Amethyst,Beryl,Tourmaline (others)"
278,OBUBRA,62711,EL-062711,Exploration License,Valid,THE FIELD OF DIAMOND LIMITED,08/08/2024,07/08/2027,100,21.25,Cross River,Obubra,"Lead,Zinc,Baryte"
279,AKAMKPA,62909,SSML-062909,Small Scale Mining Lease,Valid,ROYAL MINE ENTERPRISE,15/11/2024,14/11/2029,2,0.43,Cross River,Akamkpa,"Mica,Lithium,Tantalum,Gemstone,Tourmaline (others),Gold"
280,CROSS-RIVER,61433,EL-061433,Exploration License,Valid,PARKA OIL & GAS LIMITED,15/10/2024,14/10/2027,91,19.35,Cross River,Akamkpa,"Lithium,Manganese,Tourmaline (others)"
281,,33101,EL-033101,Exploration License,Released,YO-AKAITO AND SONS LIMITED,29/12/2020,28/12/2023,49,10.41,Cross River,Ikom,Tourmaline (others)
282,,30123,QLS-030123,Quarry Lease,Valid,XIN XIN MINING RESOURCES NIGERIA LTD,23/09/2019,22/09/2029,2,0.43,Cross River,Akamkpa,Granite
283,OSHIMILI NORTH,62585,SSML-062585,Small Scale Mining Lease,Valid,OKORIE SUNNY ISIJEKOELU,15/10/2024,14/10/2029,2,0.43,Delta,Oshimili North,Laterite
284,OSHIMILI NORTH,62712,SSML-062712,Small Scale Mining Lease,Valid,OKORIE SUNNY ISIJEKOELU,15/10/2024,14/10/2029,2,0.43,Delta,Oshimili North,"Laterite,Sand"
