Record Number,Name,Core ID,Code,Type,Status,Holder,Grant date,Expiry date,Cadastral units (CU),Area (km²),States,LGAs,Minerals
1178,,35582,EL-035582,Exploration License,Released,AK NDAMAN & SONS NIGERIA LIMITED,19/11/2021,18/11/2024,84,17.69,Niger,"Magama, Mashegu",Gold
1179,,25231,EL-025231,Exploration License,Released,S.J.A INTERNATIONAL LIMITED,12/05/2017,11/05/2024,240,50.68,Niger,Bosso,Gold
1180,,33900,SSML-033900,Small Scale Mining Lease,Blocked,SILVER CAT ASSOCIATES NIGERIA LIMITED,21/04/2021,20/04/2026,5,1.05,Niger,Rafi,Gold
1181,,31182,EL-031182,Exploration License,Blocked,ZHONGJIN MINING NIGERIA LTD,25/06/2020,24/06/2025,254,53.49,Niger,"Magama, Mashegu","Copper,Lead,Zinc,Gold"
1182,,32231,EL-032231,Exploration License,Released,KITORO MINES LTD,02/10/2020,01/10/2025,195,41.05,Niger,Borgu,"Copper,Tin,Gold,Iron"
1183,MAGAMA,41092,EL-041092,Exploration License,Blocked,ZHONGNING WEST AFRICA INVESTMENT LTD,25/11/2022,24/11/2025,103,21.66,Niger,Magama,Lithium
1184,NIGER,39556,SSML-039556,Small Scale Mining Lease,Blocked,A.S.D.K STANDARD VISION LTD,27/09/2022,26/09/2027,5,1.05,Niger,Paikoro,Gold
1185,KONTAGORA,39514,SSML-039514,Small Scale Mining Lease,Blocked,BK MINING & METALS LIMITED,21/10/2022,20/10/2027,5,1.05,Niger,Kontagora,"Lithium,Beryl,Tourmaline (blue)"
1186,,33789,EL-033789,Exploration License,Released,NORKING INDUSTRIES NIGERIA LIMITED,10/03/2021,09/03/2024,46,9.7,Niger,Shiroro,Gold
1187,,33235,EL-033235,Exploration License,Blocked,ANWUDAFE - DE NIG LTD,28/01/2021,27/01/2024,100,21.11,Niger,Paikoro,Gold
1188,,63795,EL-063795,Exploration License,Valid,ZIDY PRIME TRAVELS AND TOURISM NIG LTD,03/02/2025,02/02/2028,46,9.7,Niger,Shiroro,"Tin,Columbite,Gold"
1189,Borgu,64025,EL-064025,Exploration License,Valid,JAS MINERALS NIG LTD,17/12/2024,16/12/2027,15,3.16,Niger,Borgu,"Lithium,Gold"
1190,,34398,EL-034398,Exploration License,Released,BORGU ROYAL MINES LTD,31/05/2021,30/05/2024,200,42.08,Niger,Borgu,Gold
1191,BORGU,38492,SSML-038492,Small Scale Mining Lease,Blocked,AWALLAWA MINING COMPANY NIGERIA LTD,16/08/2022,15/08/2027,5,1.05,Niger,Agwara,Lithium
1192,MASHEGU,39240,EL-039240,Exploration License,Blocked,TUNTISE INVESTMENTS LIMITED,27/09/2022,26/09/2025,264,55.65,Niger,Mashegu,Wolframite
1193,KONTAGORA,38273,SSML-038273,Small Scale Mining Lease,Blocked,AWALLAWA MINING COMPANY NIGERIA LTD,16/08/2022,15/08/2027,5,1.05,Niger,Kontagora,Beryl
1194,,33456,EL-033456,Exploration License,Released,DABO MINING AND CONSTRUCTION COMPANY LIMITED,28/01/2021,27/01/2024,98,20.71,Niger,Lapai,"Tin,Columbite,Gold"
1195,,35350,EL-035350,Exploration License,Released,SOTOMANOR OIL AND GAS LIMITED,03/09/2021,02/09/2024,90,19.01,Niger,Lapai,Gold
1196,SHIRORO,37266,EL-037266,Exploration License,Valid,ESO TERRA INVESTMENT LIMITED,11/04/2023,10/04/2026,336,70.69,Niger,Shiroro,Tantalum
1197,,35042,EL-035042,Exploration License,Blocked,YUXIN INTEGRATED RESOURCES LIMITED,26/08/2021,25/08/2024,117,24.66,Niger,Shiroro,Gold
1198,,33874,SSML-033874,Small Scale Mining Lease,Blocked,SAYAB INVESTMENT & GENERAL MULTIPURPOSE LTD,08/04/2021,07/04/2026,4,0.84,Niger,Borgu,"Copper,Gold,Platinum"
1199,MASHEGU,59374,EL-059374,Exploration License,Valid,AFRICAN MINING & ENERGY COMPANY LIMITED,29/04/2024,28/04/2027,200,42.13,Niger,"Kontagora, Mashegu",Gold
1200,"shiroro,Niger",59954,EL-059954,Exploration License,Valid,ASHMALBIR NIGERIA LTD,30/04/2024,29/04/2027,566,119.36,Niger,"Muya, Shiroro","Lithium,Gold"
1201,,31121,SSML-031121,Small Scale Mining Lease,Blocked,PAMBED NIGERIA LIMITED,21/02/2020,20/02/2025,13,2.74,Niger,Magama,Gold
1202,,31943,SSML-031943,Small Scale Mining Lease,Blocked,PSB NETWORK NIGERIA LTD,21/08/2020,20/08/2025,5,1.06,Niger,Paikoro,Gold
1203,,31944,SSML-031944,Small Scale Mining Lease,Blocked,PSB NETWORK NIGERIA LTD,14/09/2020,13/09/2025,5,1.06,Niger,Paikoro,Gold
1204,,33316,SSML-033316,Small Scale Mining Lease,Blocked,MALCOMINES MINOR METALS LTD,15/02/2021,14/02/2026,5,1.05,Niger,Mashegu,Gold
1205,,24229,EL-024229,Exploration License,Blocked,SWEET GOLD EMPIRE LTD,19/01/2017,18/01/2022,43,9.06,Niger,"Rafi, Shiroro","Copper,Lead,Gold"
1206,,29244,SSML-029244,Small Scale Mining Lease,Blocked,ZUMA MINERAL DEVELOPMENT COMPANY LIMITED,13/03/2019,12/03/2024,10,2.1,Niger,Shiroro,Wolframite
1207,BORGU,44388,EL-044388,Exploration License,Released,TAMANOL NIGERIA LIMITED,04/05/2023,03/05/2026,83,17.47,Niger,Borgu,"Lithium,Beryl,Tourmaline (blue),Gold"
1208,AGAIE,62998,EL-062998,Exploration License,Valid,ZILA' ENERGY LIMITED,30/10/2024,29/10/2027,95,20.1,Niger,Agaie,"Tin,Gold"
1209,,31420,SSML-031420,Small Scale Mining Lease,Blocked,TETHYAN MINING NIGERIA LTD,29/07/2020,28/07/2025,12,2.52,Niger,"Magama, Rijau","Copper,Zinc,Gold"
1210,,63769,EL-063769,Exploration License,Valid,PRIXAIR RESOURCES LIMITED,15/11/2024,14/11/2027,102,21.5,Niger,Paikoro,"Copper,Beryl,Gold"
1211,,25687,EL-025687,Exploration License,Blocked,HIBISCUS MINING LTD,18/08/2017,17/08/2022,260,54.84,Niger,"Rafi, Shiroro, Wushishi","Copper,Gold"
1212,,25128,SSML-025128,Small Scale Mining Lease,Blocked,HARROWS MINING LIMITED,28/08/2019,27/08/2024,15,3.16,Niger,Paikoro,Gold
1213,MASHEGU,59375,EL-059375,Exploration License,Valid,AFRICAN MINING & ENERGY COMPANY LIMITED,29/04/2024,28/04/2027,196,41.29,Niger,Mashegu,Gold
1214,BORGU,45593,EL-045593,Exploration License,Released,AMNA MULTI TRADING COMPANY NIG LTD,07/06/2023,06/06/2026,195,40.9,Niger,Borgu,"Copper,Lead,Lithium,Manganese,Zinc,Gold"
1215,,29851,SSML-029851,Small Scale Mining Lease,Released,ALLIED AFRICAN INTERNATIONAL MINING COMPANY LIMITED,29/08/2019,28/08/2024,15,3.16,Niger,Bosso,"Copper,Gold"
1216,,34586,EL-034586,Exploration License,Blocked,YUXIN INTEGRATED RESOURCES LIMITED,11/06/2021,10/06/2024,146,30.78,Niger,Shiroro,Gold
1217,,34587,EL-034587,Exploration License,Blocked,YUXIN INTEGRATED RESOURCES LIMITED,11/06/2021,10/06/2024,210,44.26,Niger,Shiroro,Gold
1218,,33643,SSML-033643,Small Scale Mining Lease,Blocked,CARCELL OIL & GAS LTD,25/06/2021,24/06/2026,5,1.06,Niger,Gurara,Gold
1219,NIGER,62611,EL-062611,Exploration License,Valid,AQUA DELPHINI LTD,15/10/2024,14/10/2027,100,21.1,Niger,Wushishi,"Lithium,Beryl,Tourmaline (others),Gold"
1220,,33322,EL-033322,Exploration License,Valid,KITORO MINES LTD,15/02/2021,14/02/2026,128,26.94,Niger,Borgu,"Topaz,Gold,Iron"
1221,"NIGER, RAFI",62625,EL-062625,Exploration License,Valid,AQUA DELPHINI LTD,15/10/2024,14/10/2027,15,3.16,Niger,Rafi,"Lithium,Beryl,Tourmaline (others),Gold"
1222,MAGAMA,54453,EL-054453,Exploration License,Valid,NIGERLITE MINING INDUSTRIES LTD,23/04/2024,22/04/2027,62,13.03,Niger,Magama,Gold
1223,PAIKORO,59324,EL-059324,Exploration License,Valid,PEREGRINO OIL & GAS LIMITED,08/04/2024,07/04/2027,129,27.23,Niger,"Gurara, Lapai, Paikoro",Gold
1224,Lavun,62376,EL-062376,Exploration License,Valid,CONVEY INVESTMENT COMPANY LIMITED,15/10/2024,14/10/2027,150,31.66,Niger,Lavun,"Mica,Lithium"
1225,RAFI,62383,ML-062383,Mining Lease,Valid,PEREGRINO OIL & GAS LIMITED,11/10/2024,10/10/2049,4,0.84,Niger,Rafi,Gold
1226,RAFI,59373,EL-059373,Exploration License,Valid,PEREGRINO OIL & GAS LIMITED,08/04/2024,07/04/2027,79,16.67,Niger,Rafi,Gold
1227,RAFI,62364,EL-062364,Exploration License,Valid,WIZCHINO ENGINEERING LIMITED,26/08/2024,25/08/2027,64,13.5,Niger,"Mashegu, Rafi",Gold
1228,RAFI,62384,ML-062384,Mining Lease,Valid,PEREGRINO OIL & GAS LIMITED,11/10/2024,10/10/2049,4,0.84,Niger,Rafi,Gold
1229,RAFI,59372,EL-059372,Exploration License,Valid,PEREGRINO OIL & GAS LIMITED,08/04/2024,07/04/2027,109,23.0,Niger,Rafi,Gold
1230,RAFI LGA,62350,EL-062350,Exploration License,Valid,FIRST ATLANTIC INTEGRATED PROJECTS LTD,09/09/2024,08/09/2027,54,11.39,Niger,"Mariga, Mashegu, Rafi","Lithium,Tantalum,Cassiterite,Columbite,Gold"
1231,UDARA,61364,QLS-061364,Quarry Lease,Valid,TRIACTA NIGERIA LIMITED,25/06/2024,24/06/2029,5,1.05,Niger,Kontagora,"Granite,Laterite,Sand"
1232,,34476,SSML-034476,Small Scale Mining Lease,Released,NOFAB GLOBAL NIGERIA LIMITED,06/07/2021,05/07/2026,15,3.16,Niger,"Muya, Shiroro",Gold
1233,,37067,ML-037067,Mining Lease,Blocked,TOM HAWKSWORTH LIMITED,17/10/2022,16/10/2047,12,2.53,Niger,Gurara,Gold
1234,Bosso,35629,EL-035629,Exploration License,Released,PARTNERS INTERNATIONAL FACILITIES LIMITED,05/11/2021,04/11/2024,80,16.89,Niger,Bosso,Gold
1235,,30575,QLS-030575,Quarry Lease,Blocked,CONSTRUCTION PRODUCTS NIGERIA LIMITED,16/12/2019,15/12/2024,2,0.42,Niger,Paikoro,Granite
1236,PAIKORO,62368,ML-062368,Mining Lease,Valid,PEREGRINO OIL & GAS LIMITED,11/10/2024,10/10/2049,4,0.84,Niger,Paikoro,Gold
1237,,30653,SSML-030653,Small Scale Mining Lease,Blocked,AWALLAWA MINING COMPANY NIGERIA LTD,19/12/2019,18/12/2024,2,0.42,Niger,Rafi,Gold
1238,LAVUN,62365,EL-062365,Exploration License,Valid,ASUNTO DIVERSIFIELD LTD,26/08/2024,25/08/2027,100,21.09,Niger,Lavun,"Copper,Gemstone,Gold"
1239,MASHEGU,59338,EL-059338,Exploration License,Valid,ZUMA MINERAL DEVELOPMENT COMPANY LIMITED,30/04/2024,29/04/2027,48,10.1,Niger,Kontagora,"Lithium,Beryl,Gold,Monazite"
1240,NIGER,37084,QLS-037084,Quarry Lease,Blocked,KITORO MINES LTD,02/08/2022,01/08/2027,5,1.05,Niger,Borgu,Granite
1241,LAPAI,63002,EL-063002,Exploration License,Valid,ZILA' ENERGY LIMITED,15/11/2024,14/11/2027,75,15.84,Niger,Lapai,"Tin,Gold"
1242,MASHEGU,59339,EL-059339,Exploration License,Valid,ZUMA MINERAL DEVELOPMENT COMPANY LIMITED,30/04/2024,29/04/2027,200,42.15,Niger,Mashegu,"Lithium,Beryl,Tourmaline (others)"
1243,,33206,EL-033206,Exploration License,Released,MIN DAO MINERAL COMPANY LIMITED,15/02/2021,14/02/2024,504,106.07,Niger,"Kontagora, Magama, Mashegu",Gold
1244,,33318,EL-033318,Exploration License,Valid,MARAFA SOLID MINERALS & MINES LTD,15/02/2021,14/02/2026,200,42.03,Niger,Borgu,Iron
1245,GURARA,62512,EL-062512,Exploration License,Valid,BLUSTAIR CONSULTING LIMITED,30/10/2024,29/10/2027,17,3.59,Niger,Paikoro,Gold
1246,,151,ML-000151,Mining Lease,Blocked,KAFFO MINES LIMITED,01/01/2005,31/12/2029,5,1.06,Niger,Paikoro,Baryte
1247,,30677,SSML-030677,Small Scale Mining Lease,Blocked,AWALLAWA MINING COMPANY NIGERIA LTD,16/12/2019,15/12/2024,4,0.84,Niger,Mashegu,Manganese
1248,,35103,SSML-035103,Small Scale Mining Lease,Blocked,S.M DANBABA GLOBAL SERVICES LTD,24/08/2021,23/08/2026,5,1.05,Niger,Muya,Gold
1249,,29566,SSML-029566,Small Scale Mining Lease,Released,ASG SOLAR TECH LTD,23/05/2019,22/05/2024,12,2.52,Niger,Magama,Gold
1250,,34636,EL-034636,Exploration License,Valid,BLUETOPAZ MINING AND INVESTMENT NIG. LTD,10/09/2021,09/09/2026,104,21.89,Niger,Borgu,"Manganese,Gold"
1251,,34478,SSML-034478,Small Scale Mining Lease,Blocked,HAGAR GLOBAL SYNERGY LTD,06/07/2021,05/07/2026,4,0.84,Niger,Kontagora,Gold
1252,MUYA,53816,EL-053816,Exploration License,Valid,LUKAI INTERNATIONAL MINING CO. LTD,20/09/2023,19/09/2026,190,40.02,Niger,Muya,"Mica,Lithium,Tantalum,Beryl,Tourmaline (blue),Gold"
1253,Ogun,61611,EL-061611,Exploration License,Valid,LEVIATHAN MINES COMPANY LIMITED,15/10/2024,14/10/2027,15,3.18,Ogun,"Obafemi-Owode, Odedah",Kaoline
1254,ODEDAH,53567,EL-053567,Exploration License,Valid,MIDAS MINNING LIMITED,31/08/2023,30/08/2026,195,41.32,Ogun,Odedah,"Mica,Lithium,Feldspar,Quartz"
1255,OBAFEMI/OWODE,59023,QLS-059023,Quarry Lease,Valid,OMOBUKOYE SERVICES,09/08/2024,08/08/2029,4,0.85,Ogun,Obafemi-Owode,Granite
1256,"obafemi-owode,ogun",62842,QLS-062842,Quarry Lease,Valid,DINLON RESOURCES COMPANY LTD,23/10/2024,22/10/2029,5,1.06,Ogun,Obafemi-Owode,Quartz
1257,,24141,SSML-024141,Small Scale Mining Lease,Valid,RGM MATERIALS SOLUTION LIMITED,20/02/2017,19/02/2027,9,1.91,Ogun,Imeko-Afon,"Tantalum,Tin,Beryl,Garnet,Tourmaline (others)"
1258,EGBADO,36439,SSML-036439,Small Scale Mining Lease,Valid,GLOWTON OIL SERVICE VENTURES,23/01/2023,22/01/2028,2,0.42,Ogun,Egbado-North,Clay
1259,Sagamu,37335,SSML-037335,Small Scale Mining Lease,Valid,OLABODE OLUMUYIWA JOLAOGUN,20/01/2020,19/01/2028,1,0.21,Ogun,Shagamu,Laterite
1260,ADO-ODO/OTA,38467,SSML-038467,Small Scale Mining Lease,Valid,AKINWUMI NURENI OLAYNKA,16/08/2022,15/08/2027,10,2.12,Ogun,Ado-Odo/Ota,Laterite
1261,OGUN,37587,SSML-037587,Small Scale Mining Lease,Valid,ROBINHOOD GLOBAL SERVICES LIMITED,23/01/2023,22/01/2028,4,0.85,Ogun,Ado-Odo/Ota,Sand
1262,Imeko,61308,EL-061308,Exploration License,Valid,APEXLOT LIMITED,24/06/2024,23/06/2027,132,27.95,Ogun,Imeko-Afon,"Lithium,Tourmaline (green)"
1263,YEWA SOUTH,36938,SSML-036938,Small Scale Mining Lease,Valid,KAMILU ONIFADE ADEOLA,20/01/2023,19/01/2028,1,0.21,Ogun,Egbado-North,Clay
1264,,33535,EL-033535,Exploration License,Valid,FORTE UPSTREAM SERVICES LTD,15/02/2021,14/02/2026,144,30.54,Ogun,Ijebu East,Gold
1265,,19034,QLS-019034,Quarry Lease,Valid,CNC CONSTRUCTION COMPANY INC,25/09/2014,24/09/2029,4,0.85,Ogun,"Ijebu North, Ijebu-Ode, Odogbolu",Granite
1266,Obafemi Owode,36991,SSML-036991,Small Scale Mining Lease,Valid,ACCORD ADIDAS AND COMPANY LIMITED,20/01/2023,19/01/2028,2,0.42,Ogun,Ifo,Sand
1267,OGUN,37168,SSML-037168,Small Scale Mining Lease,Valid,BARAT NIGERIA LIMITED,27/09/2022,26/09/2027,2,0.42,Ogun,Abeokuta North,Gold
1268,ADO-ODO/OTA,62841,SSML-062841,Small Scale Mining Lease,Valid,BEMONIQUE SERVICES LIMITED,23/10/2024,22/10/2029,2,0.42,Ogun,Ado-Odo/Ota,Sand
1269,,35781,SSML-035781,Small Scale Mining Lease,Valid,K & F DANIEL FARMS NIG LTD,19/11/2021,18/11/2026,3,0.64,Ogun,Ipokia,Clay
1270,ABEOKUTA NORTH,62307,SSML-062307,Small Scale Mining Lease,Valid,XCESSESTHER NIGERIA LIMITED,09/08/2024,08/08/2029,7,1.48,Ogun,Abeokuta North,"Gypsum,Limestone,Mica,Lithium,Feldspar,Quartz,Beryl,Tourmaline (others),Gold,Diamond"
1271,obafemi-owode,62746,EL-062746,Exploration License,Valid,DINLON RESOURCES COMPANY LTD,23/10/2024,22/10/2027,92,19.5,Ogun,Obafemi-Owode,Quartz
1272,OBAFEMI-OWODE,62622,SSML-062622,Small Scale Mining Lease,Valid,SHIROKU MINING COMPANY LIMITED,15/10/2024,14/10/2029,10,2.12,Ogun,Obafemi-Owode,Sand
1273,IJEBU-ODE,60311,QLS-060311,Quarry Lease,Valid,SANXIN QUARRY NIGERIA LIMITED,10/12/2024,09/12/2029,3,0.64,Ogun,"Ijebu North, Ijebu-Ode",Granite
1274,IJEBU NORTH,63132,SSML-063132,Small Scale Mining Lease,Valid,CAFE18 LOGISTIC AND SERVICES LTD,30/10/2024,29/10/2029,2,0.42,Ogun,Ijebu North,"Feldspar,Quartz"
1275,A6,53630,EL-053630,Exploration License,Valid,ZIGMA LIMITED,17/07/2023,16/07/2026,173,36.69,Ogun,"Ikenne, Shagamu",Bitumen/tar sand
1276,,29502,SSML-029502,Small Scale Mining Lease,Released,AMIDE CLAY INDUSTRIES LIMITED,07/05/2019,06/05/2024,10,2.12,Ogun,Ewekoro,"Clay,Laterite"
1277,,32886,EL-032886,Exploration License,Released,KGB HOLDING (NIGERIA) LIMITED,29/12/2020,28/12/2023,90,18.02,Ogun,"Obafemi-Owode, Odedah",Tourmaline (others)
1278,A6,62548,ML-062548,Mining Lease,Valid,ZIGMA LIMITED,17/12/2024,16/12/2049,250,53.02,Ogun,"Odogbolu, Shagamu",Bitumen/tar sand
1279,,29793,QLS-029793,Quarry Lease,Released,SANXIN QUARRY NIGERIA LIMITED,01/08/2019,31/07/2024,3,0.64,Ogun,"Ijebu North, Ijebu-Ode",Granite
1280,IFO,62109,SSML-062109,Small Scale Mining Lease,Valid,MUSBAL NIGERIA LIMITED,06/11/2024,05/11/2029,2,0.42,Ogun,Ifo,Sand
1281,,33092,EL-033092,Exploration License,Released,GRAYSCALE AAA NIGERIA LIMITED,29/12/2020,28/12/2023,132,27.95,Ogun,Imeko-Afon,"Mica,Lithium,Tin,Feldspar,Garnet,Gemstone,Tourmaline (others),Columbite"
1282,REMO NORTH,61753,EL-061753,Exploration License,Valid,LOT-YES NIGERIA LIMITED,25/06/2024,24/06/2027,193,40.92,Ogun,"Ikenne, Obafemi-Owode, Remo North","Dolomite,Mica,Tourmaline (others),Gold"
1283,REMO NORTH,61882,QLS-061882,Quarry Lease,Valid,KINGSVIEW PROJECTS LTD,15/10/2024,14/10/2029,12,2.54,Ogun,Remo North,"Granite,Sand,Feldspar,Quartz"
1284,OBAFEMI-OWODE,61746,SSML-061746,Small Scale Mining Lease,Valid,ARAZ DEVELOPMENT COMPANY LIMITED,30/10/2024,29/10/2029,5,1.06,Ogun,Obafemi-Owode,Kaoline
1285,"OGUN, ADO-ODO/OTA",63329,SSML-063329,Small Scale Mining Lease,Valid,TAE FARM (NIGERIA) GENERAL ENTERPRISES,30/10/2024,29/10/2029,1,0.21,Ogun,Ado-Odo/Ota,Sand
1286,,29179,EL-029179,Exploration License,Valid,BITUMEN EXPLORATION AND EXPLOITATION COMPANY NIGERIA LIMITED,30/05/2019,29/05/2024,601,127.63,"Ogun, Ondo","Ogun
Water Side, Ilaje",Bitumen/tar sand
1287,,25691,EL-025691,Exploration License,Released,OLADIRAN MINING LIMITED,18/08/2017,17/08/2022,69,14.63,"Ogun, Oyo","Ijebu North, Oluyole",Gold
1288,OYO,61388,EL-061388,Exploration License,Valid,SIXIS NIGERIA LIMITED,15/10/2024,14/10/2027,36,7.62,"Ogun, Oyo","Odedah, Ibarapa Central",Tantalum
1289,IWAJOWA,37781,EL-037781,Exploration License,Valid,AKLAD MULTISYSTEM NIGERIA LTD,11/11/2022,10/11/2025,857,181.31,"Ogun, Oyo","Imeko-Afon, Iwajowa",Gold
1290,IBARAPA CENTRAL,54525,EL-054525,Exploration License,Valid,ANCIENT MOUNTAINS NIGERIA LIMITED,25/01/2024,24/01/2027,94,19.91,"Ogun, Oyo","Imeko-Afon, Ibarapa Central","Feldspar,Beryl"
1291,IBARAPA CENTRAL,61080,SSML-061080,Small Scale Mining Lease,Valid,ANCIENT MOUNTAINS NIGERIA LIMITED,09/08/2024,08/08/2029,15,3.18,"Ogun, Oyo","Imeko-Afon, Ibarapa Central","Feldspar,Beryl"
1292,,32934,EL-032934,Exploration License,Released,GBOLLY CONSTRUCTION COM[ANY NIGERIA LIMIKTED,09/12/2020,08/12/2023,100,21.22,Ondo,Ondo West,"Gemstone,Tourmaline (others),Gold"
1293,ONDO WEST,62617,EL-062617,Exploration License,Valid,EL-UMMA GLOBAL SERVICES NIGERIA LIMITED,23/10/2024,22/10/2027,100,21.22,Ondo,Ondo West,"Mica,Feldspar,Quartz,Gold"
1294,,32477,EL-032477,Exploration License,Released,INTEGRATED MINERAL DEVELOPMENT COMPANY LIMITED,24/11/2020,23/11/2023,100,21.21,Ondo,Ondo West,Gold
1295,ONDO WEST,39634,EL-039634,Exploration License,Valid,ONSIEN LIMITED,25/11/2022,24/11/2025,11,2.33,Ondo,Ondo West,Gold
1296,ODIGBO ONDO-WEST,62745,EL-062745,Exploration License,Valid,EL-UMMA GLOBAL SERVICES NIGERIA LIMITED,23/10/2024,22/10/2027,100,21.22,Ondo,Ondo West,Gold
1297,,29178,EL-029178,Exploration License,Valid,BITUMEN EXPLORATION AND EXPLOITATION COMPANY NIGERIA LIMITED,30/05/2019,29/05/2024,240,50.97,Ondo,Okitipupa,Bitumen/tar sand
1298,ODIGBO,63767,EL-063767,Exploration License,Valid,1921 ROYALHOOD DIADEM LIMITED,15/11/2024,14/11/2027,914,193.99,Ondo,"Odigbo, Ondo West",Gold
1299,ODIGBO,62770,EL-062770,Exploration License,Valid,ADE-OLAP GLOBAL RESOURCES LIMITED,15/10/2024,14/10/2027,91,19.31,Ondo,Ondo West,Gold
1300,,28069,EL-028069,Exploration License,Released,AVON 3 MINING LIMITED,12/11/2018,11/11/2023,191,40.58,Ondo,Ilaje,Silica sand
1301,,14928,QLS-014928,Quarry Lease,Valid,Z & Y INVESTMENT COMPANY LIMITED,31/12/2014,30/12/2024,2,0.42,Ondo,Idanre,Granite
1302,,34588,QLS-034588,Quarry Lease,Released,STONE WORLD MINING LIMITED,16/06/2021,15/06/2026,2,0.42,Ondo,Akoko South West,Granite
1303,,35785,EL-035785,Exploration License,Valid,HP WADOT LIMITED,15/09/2022,14/09/2025,719,152.56,"Ondo, Osun","Ondo East, Ondo West, Atakumosa East",Gold
1304,,32917,EL-032917,Exploration License,Released,EFIMAC NIGERIA LIMITED,29/12/2020,28/12/2023,234,49.63,"Ondo, Osun","Ondo West, Ifetedo","Tourmaline (others),Gold"
1305,ATAKUMOSA EAST,63496,EL-063496,Exploration License,Valid,EL-UMMA GLOBAL SERVICES NIGERIA LIMITED,15/11/2024,14/11/2027,62,13.15,"Ondo, Osun","Ondo West, Atakumosa East","Beryl,Tourmaline (others),Gold"
1306,,33516,EL-033516,Exploration License,Valid,FORTE UPSTREAM SERVICES LTD,15/02/2021,14/02/2026,234,49.56,Osun,"Ayedire, Iwo, Ola-Oluwa",Gold
1307,IFE NORTH,63424,EL-063424,Exploration License,Valid,GOLDVEIN MINE LIMITED,23/10/2024,22/10/2027,96,20.35,Osun,Ife North,Gold
1308,,26693,EL-026693,Exploration License,Released,OAKAUREUS LIMITED,01/02/2018,31/01/2023,12,2.54,Osun,Atakumosa West,"Copper,Silver,Gold"
1309,,35318,SSML-035318,Small Scale Mining Lease,Valid,AKINBONI SANMI LAWRENCE,26/05/2022,25/05/2027,5,1.06,Osun,Irewole,"Amethyst,Beryl,Tourmaline (blue)"
1310,IFE NORTH,63423,EL-063423,Exploration License,Valid,GOLDVEIN MINE LIMITED,23/10/2024,22/10/2027,96,20.35,Osun,"Ife North, Ile Ife/Modakeke",Gold
1311,"OLA-OLOUWA LGA, OSUN STATE",62815,EL-062815,Exploration License,Valid,CROWNSHIELD CONSTRUCTION SERVICES LTD,23/10/2024,22/10/2027,99,20.96,Osun,Ola-Oluwa,"Tantalum,Tin,Quartz,Gold,Ilmenite,Zircon sand"
1312,ILE-OLUJI/OKEIGBO,62816,QLS-062816,Quarry Lease,Valid,SAMSTEL QUARRYING AND MINING COMPANY LTD,15/10/2024,14/10/2029,1,0.21,Osun,Atakumosa East,Granite
1313,,33935,EL-033935,Exploration License,Released,CALVARY AUTO LIMITED,03/09/2021,02/09/2024,384,81.39,Osun,"Ife North, Ifetedo, Ile Ife/Modakeke",Gold
1314,,30885,SSML-030885,Small Scale Mining Lease,Valid,MICRO LEASING LIMITED,31/01/2020,30/01/2030,6,1.27,Osun,Ifetedo,Gold
1315,"Osun, Ife North",63419,EL-063419,Exploration License,Valid,GOLDVEIN MINE LIMITED,23/10/2024,22/10/2027,96,20.35,Osun,Ife North,Gold
1316,,36111,SSML-036111,Small Scale Mining Lease,Valid,REAL SOFT AND HARD MINERALS RESOURCES LTD,01/03/2024,28/02/2029,5,1.06,Osun,Atakumosa East,Gold
1317,PRESTON TRADING COMPANY LIMITED,34106,EL-034106,Exploration License,Valid,PRESTON TRADING CO. LTD.,16/09/2022,15/09/2025,194,41.09,Osun,"Boripe, Obokun, Osogbo",Gold
1318,IFE NORTH,63416,EL-063416,Exploration License,Valid,GOLDVEIN MINE LIMITED,23/10/2024,22/10/2027,96,20.35,Osun,"Ife North, Ifetedo, Ile Ife/Modakeke",Gold
1319,Atakumosa East,61419,EL-061419,Exploration License,Valid,LEVIATHAN MINES COMPANY LIMITED,15/10/2024,14/10/2027,76,16.1,Osun,"Atakumosa West, Ijesha, Ereja",Gold
1320,IFE,63509,EL-063509,Exploration License,Valid,REFEM LIMITED,30/10/2024,29/10/2027,8,1.7,Osun,Iragbiji,"Lithium,Tourmaline (blue),Gold"
1321,ATAKUMOSA WEST.,60703,SSML-060703,Small Scale Mining Lease,Valid,BEST KAMCO RESOURCES MARKETING NIGERIA LIMITED,15/10/2024,14/10/2029,1,0.21,Osun,Atakumosa West,Gold
1322,OBOKUN,42757,EL-042757,Exploration License,Valid,REAL ISREAL AND COMPANY NIG LTD,31/08/2023,30/08/2026,29,6.14,Osun,Obokun,Gold
1323,,28262,SSML-028262,Small Scale Mining Lease,Released,TAD MINING LTD,12/10/2018,11/10/2023,6,1.27,Osun,"Araromi, Olorunla","Mica,Feldspar,Gemstone"
1324,,27904,SSML-027904,Small Scale Mining Lease,Released,WALOT NIGERIA LIMITED,07/08/2018,06/08/2023,12,2.54,Osun,Egbedore,"Aquamarine,Tourmaline (others)"
1325,ODO-OTIN,62387,EL-062387,Exploration License,Valid,PIERRE BLANCHE LTD,26/08/2024,25/08/2027,37,7.83,Osun,Odo-Otin,Gold
1326,,26131,EL-026131,Exploration License,Released,ROMULUS MINING & EXPLORATION LTD,26/10/2017,25/10/2022,12,2.54,Osun,Egbedore,Columbite
